Title,Author,Rating
Happy Place,Emily Henry,"4.23 avg rating — 223,039 ratings"
"The Stolen Heir (The Stolen Heir Duology, #1)",Holly Black,"4.07 avg rating — 50,177 ratings"
"Hell Bent (Alex Stern, #2)",Leigh Bardugo,"4.20 avg rating — 62,383 ratings"
Tress of the Emerald Sea,Brandon Sanderson,"4.55 avg rating — 41,337 ratings"
All the Dangerous Things,Stacy Willingham,"4.13 avg rating — 83,566 ratings"
Yellowface,R.F. Kuang,"4.16 avg rating — 27,518 ratings"
Heir of Broken Fate,Mads Rafferty,3.99 avg rating — 575 ratings
"A Curse for True Love (Once Upon a Broken Heart, #3)",Stephanie Garber,4.82 avg rating — 747 ratings
Spare,Prince Harry,"3.94 avg rating — 231,683 ratings"
How to Sell a Haunted House,Grady Hendrix,"3.80 avg rating — 44,524 ratings"
Hello Beautiful,Ann Napolitano,"4.26 avg rating — 60,192 ratings"
"A Day of Fallen Night (The Roots of Chaos, #0)",Samantha    Shannon,"4.49 avg rating — 10,633 ratings"
"Emily Wilde's Encyclopaedia of Faeries (Emily Wilde, #1)",Heather Fawcett,"4.12 avg rating — 22,171 ratings"
"The Bitter Past (Porter Beck, #1)",Bruce Borgos,4.32 avg rating — 153 ratings
Clytemnestra,Costanza Casati,"4.33 avg rating — 3,862 ratings"
"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,"4.69 avg rating — 109,745 ratings"
"The Adventures of Amina al-Sirafi (Amina al-Sirafi, #1)",Shannon Chakraborty,"4.35 avg rating — 13,080 ratings"
In the Lives of Puppets,T.J. Klune,"4.09 avg rating — 16,305 ratings"
Maame,Jessica George,"4.11 avg rating — 35,984 ratings"
"Final Offer (Dreamland Billionaires, #3)",Lauren Asher,"4.31 avg rating — 106,600 ratings"
"Love, Theoretically",Ali Hazelwood,"4.29 avg rating — 16,493 ratings"
Devious Obsession,S. Massery,"4.14 avg rating — 3,631 ratings"
Vera Wong's Unsolicited Advice for Murderers,Jesse Q. Sutanto,"4.10 avg rating — 19,454 ratings"
"Yours Truly (Part of Your World, #2)",Abby Jimenez,"4.41 avg rating — 58,939 ratings"
"A Soul of Ash and Blood (Blood and Ash, #5)",Jennifer L. Armentrout,4.33 avg rating — 460 ratings
The House Is on Fire,Rachel Beanland,"4.16 avg rating — 4,923 ratings"
